attr,control,dogwhistle,difference
rassistisch,0,4,4
rechts,1,4,3
nationalistisch,1,3,2
intolerant,0,2,2
kalt,0,2,2
kritisch,0,2,2
rückwärtsgewandt,0,2,2
altmodisch,1,2,1
egoistisch,1,2,1
engstirnig,1,2,1
strikt,1,2,1
traditionell,1,2,1
verschlossen,2,3,1
ablehnend,0,1,1
abwertend,0,1,1
alt,0,1,1
anspruchsvoll,0,1,1
antieuropäisch,0,1,1
auf stimmenfang,0,1,1
ausgrenzend,0,1,1
ausländerfeindlich,0,1,1
beschützend,0,1,1
bestimmend,0,1,1
durchsetzend,0,1,1
durchsetzungsfähig,0,1,1
einschränkend,0,1,1
einschüchternd,0,1,1
exkludierend,0,1,1
faktisch korrekt,0,1,1
fremdenfeindlich,0,1,1
harsch,0,1,1
kleinlich,0,1,1
konkret,0,1,1
kontrolliert,0,1,1
lange regierend,0,1,1
langweilig,0,1,1
männlich,0,1,1
meritokratisch,0,1,1
nicht offen,0,1,1
ordentlich,0,1,1
privilegiert,0,1,1
rechtsorientiert,0,1,1
reich,0,1,1
resilient,0,1,1
souverän,0,1,1
traditionalistisch,0,1,1
unklug,0,1,1
unmodern,0,1,1
unnachgiebig,0,1,1
unnahbar,0,1,1
vorsichtig,0,1,1
weiß,0,1,1
wirtschaftsorientiert,0,1,1
wohlwollend,0,1,1
zielstrebig,0,1,1
abweisend,2,2,0
ausschließend,1,1,0
bürokratisch,1,1,0
dominant,1,1,0
geizig,1,1,0
informiert,1,1,0
intelligent,1,1,0
juristisch,1,1,0
patriotistisch,1,1,0
rechts/konservativ,1,1,0
schroff,1,1,0
selbstsicher,1,1,0
sozial,1,1,0
unmenschlich,1,1,0
vernünftig,1,1,0
xenophob,1,1,0
"""volksstimmung"" berücksichtigend",1,0,-1
abgrenzend,1,0,-1
an regeln haltend,1,0,-1
analytisch,1,0,-1
bestimmt,1,0,-1
deutsch,1,0,-1
ehrlich,3,2,-1
eigennützig,1,0,-1
erfahren,1,0,-1
faktenbasiert,1,0,-1
fordernd,1,0,-1
inkompetent,1,0,-1
kalkulierend,1,0,-1
kleinkariert,1,0,-1
kompetent,1,0,-1
kühl,1,0,-1
mahnend,1,0,-1
mann mittleren alters,1,0,-1
mir fällt nichts ein,1,0,-1
nachdenklich,1,0,-1
nationalstolz,1,0,-1
neutral,1,0,-1
oberflächlich,1,0,-1
opportunist,1,0,-1
politisch mittig bis rechts,1,0,-1
pragmatisch,1,0,-1
realitätsnah,1,0,-1
rechtschaffen,1,0,-1
rechtspolitisch,1,0,-1
regelorientiert,1,0,-1
sachlich,1,0,-1
sicherheitsorientiert,1,0,-1
stolz,1,0,-1
stur,1,0,-1
unfreundlich,2,1,-1
unsympathisch,2,1,-1
verängstigt,1,0,-1
verärgert,1,0,-1
zwanghaft,1,0,-1
christlich,2,0,-2
national,2,0,-2
offen,2,0,-2
patriotisch,3,1,-2
realistisch,5,1,-4
konservativ,15,10,-5
streng,10,5,-5
