attr.1,count.1,attr.2,count.2,attr.3,count.3,attr.4,count.4
zukunftsorientiert,8,konservativ,15,zukunftsorientiert,9,konservativ,10
konservativ,6,streng,10,vorausschauend,5,streng,5
fokussiert,3,realistisch,5,ehrlich,4,rassistisch,4
kinderlieb,3,ehrlich,3,kinderlieb,3,rechts,4
realistisch,3,patriotisch,3,realistisch,3,nationalistisch,3
sozial,3,abweisend,2,weitsichtig,3,verschlossen,3
weitsichtig,3,christlich,2,familiär,2,abweisend,2
altruistisch,2,national,2,familienfreundlich,2,altmodisch,2
fair,2,offen,2,familienorientiert,2,egoistisch,2
familienmensch,2,unfreundlich,2,freundlich,2,ehrlich,2
intelligent,2,unsympathisch,2,gebildet,2,engstirnig,2
langweilig,2,verschlossen,2,intelligent,2,intolerant,2
mitdenkend,2,"""volksstimmung"" berücksichtigend",1,kalkulierend,2,kalt,2
progressiv,2,abgrenzend,1,kinderfreundlich,2,kritisch,2
verantwortungsvoll,2,altmodisch,1,nett,2,rückwärtsgewandt,2
vorausschauend,2,an regeln haltend,1,nichtssagend,2,strikt,2
ambitioniert,1,analytisch,1,offen,2,traditionell,2
anpassungsfähig,1,ausschließend,1,sozial,2,ablehnend,1
anständig,1,bestimmt,1,sympathisch,2,abwertend,1
aufrichtig,1,bürokratisch,1,warm,2,alt,1
beherrscht,1,deutsch,1,aktiv,1,anspruchsvoll,1
beifallheischend,1,dominant,1,ambitioniert,1,antieuropäisch,1
besonnen,1,egoistisch,1,aufmerksam,1,auf stimmenfang,1
bildungsinteressiert,1,eigennützig,1,bedacht,1,ausgrenzend,1
bodenständig,1,engstirnig,1,bürgerlich,1,ausländerfeindlich,1
bürgerlich,1,erfahren,1,bürgernah,1,ausschließend,1
christlich,1,faktenbasiert,1,bürgernahe,1,beschützend,1
durchschnittlich,1,fordernd,1,charismatisch,1,bestimmend,1
ehrlich,1,geizig,1,clever,1,bürokratisch,1
einfallslos,1,informiert,1,empathisch,1,dominant,1
einfühlsam,1,inkompetent,1,fair,1,durchsetzend,1
engagiert,1,intelligent,1,familienbewusst,1,durchsetzungsfähig,1
erfahren,1,juristisch,1,familienmensch,1,einschränkend,1
ermutigend,1,kalkulierend,1,fürsorglich,1,einschüchternd,1
familiär,1,kleinkariert,1,heuchlerisch,1,exkludierend,1
familienbewusstsein,1,kompetent,1,integrativ,1,faktisch korrekt,1
familienorientiert,1,kühl,1,jung,1,fremdenfeindlich,1
fördernd,1,mahnend,1,kantenlos,1,geizig,1
freundlich,1,mann mittleren alters,1,klimabewusst,1,harsch,1
glaubhaft,1,mir fällt nichts ein,1,klug,1,informiert,1
heuchlerisch,1,nachdenklich,1,leidenschaftlich,1,intelligent,1
jung,1,nationalistisch,1,links,1,juristisch,1
klug,1,nationalstolz,1,mutig,1,kleinlich,1
kompetent,1,neutral,1,nachhaltig,1,konkret,1
logisch,1,oberflächlich,1,optimistisch,1,kontrolliert,1
mag kinder,1,opportunist,1,patriotisch,1,lange regierend,1
männlich,1,patriotistisch,1,phrasen dreschend,1,langweilig,1
mittleren alters,1,politisch mittig bis rechts,1,positiv,1,männlich,1
nachhaltig,1,pragmatisch,1,progressiv,1,meritokratisch,1
nationalistisch,1,realitätsnah,1,redegewandt,1,nicht offen,1
nett,1,rechts,1,souverän,1,ordentlich,1
nichtssagend,1,rechts/konservativ,1,sozial engagiert,1,patriotisch,1
offen,1,rechtschaffen,1,sozialkompetent,1,patriotistisch,1
ökonomisch,1,rechtspolitisch,1,spricht in phrasen,1,privilegiert,1
pathetisch,1,regelorientiert,1,stärkend,1,realistisch,1
patriotisch,1,sachlich,1,teamfähig,1,rechts/konservativ,1
politische mitte,1,schroff,1,traditionell,1,rechtsorientiert,1
rechts/konservativ,1,selbstsicher,1,überlegt,1,reich,1
redegewandt,1,sicherheitsorientiert,1,überzeugend,1,resilient,1
souverän,1,sozial,1,umweltbewusst,1,schroff,1
stärkend,1,stolz,1,uneigennützig,1,selbstsicher,1
umweltbewusst,1,strikt,1,unkonventionell,1,souverän,1
unkonventionell,1,stur,1,verantwortungsbewusst,1,sozial,1
verlässlich,1,traditionell,1,verantwortungsvoll,1,traditionalistisch,1
vernünftig,1,unmenschlich,1,vertrauenswürdig,1,unfreundlich,1
verständnisvoll,1,verängstigt,1,vorbildlich,1,unklug,1
visionär,1,verärgert,1,wählbar,1,unmenschlich,1
vorrausschauend,1,vernünftig,1,weiblich,1,unmodern,1
weich,1,xenophob,1,weltoffen,1,unnachgiebig,1
zukunftsbedacht,1,zwanghaft,1,zukunftsgewand,1,unnahbar,1
