attr,count
konservativ,31
zukunftsorientiert,17
streng,15
realistisch,12
ehrlich,10
sozial,7
vorausschauend,7
intelligent,6
kinderlieb,6
patriotisch,6
weitsichtig,6
nationalistisch,5
offen,5
rechts,5
verschlossen,5
abweisend,4
rassistisch,4
traditionell,4
altmodisch,3
christlich,3
egoistisch,3
engstirnig,3
fair,3
familiär,3
familienmensch,3
familienorientiert,3
fokussiert,3
freundlich,3
kalkulierend,3
langweilig,3
nett,3
nichtssagend,3
progressiv,3
rechts/konservativ,3
souverän,3
strikt,3
unfreundlich,3
unsympathisch,3
verantwortungsvoll,3
vernünftig,3
altruistisch,2
ambitioniert,2
ausschließend,2
bürgerlich,2
bürokratisch,2
dominant,2
erfahren,2
familienfreundlich,2
gebildet,2
geizig,2
heuchlerisch,2
informiert,2
intolerant,2
jung,2
juristisch,2
kalt,2
kinderfreundlich,2
klug,2
kompetent,2
kritisch,2
männlich,2
mitdenkend,2
nachhaltig,2
national,2
patriotistisch,2
redegewandt,2
rückwärtsgewandt,2
schroff,2
selbstsicher,2
stärkend,2
sympathisch,2
umweltbewusst,2
unkonventionell,2
unmenschlich,2
warm,2
xenophob,2
zukunftsgewand,2
zuverlässig,2
zuversichtlich,2
"""volksstimmung"" berücksichtigend",1
abgrenzend,1
ablehnend,1
abwertend,1
aktiv,1
alt,1
an regeln haltend,1
analytisch,1
anpassungsfähig,1
anspruchsvoll,1
anständig,1
antieuropäisch,1
auf stimmenfang,1
aufmerksam,1
aufrichtig,1
ausgrenzend,1
ausländerfeindlich,1
bedacht,1
beherrscht,1
beifallheischend,1
beschützend,1
besonnen,1
bestimmend,1
bestimmt,1
bildungsinteressiert,1
bodenständig,1
bürgernah,1
bürgernahe,1
charismatisch,1
clever,1
deutsch,1
durchschnittlich,1
durchsetzend,1
durchsetzungsfähig,1
eigennützig,1
einfallslos,1
einfühlsam,1
einschränkend,1
einschüchternd,1
empathisch,1
engagiert,1
ermutigend,1
exkludierend,1
faktenbasiert,1
faktisch korrekt,1
familienbewusst,1
familienbewusstsein,1
fordernd,1
fördernd,1
fremdenfeindlich,1
fürsorglich,1
glaubhaft,1
harsch,1
inkompetent,1
integrativ,1
kantenlos,1
kleinkariert,1
kleinlich,1
klimabewusst,1
konkret,1
kontrolliert,1
kühl,1
lange regierend,1
leidenschaftlich,1
links,1
logisch,1
mag kinder,1
mahnend,1
mann mittleren alters,1
meritokratisch,1
mir fällt nichts ein,1
mittleren alters,1
mutig,1
nachdenklich,1
nationalstolz,1
neutral,1
nicht offen,1
oberflächlich,1
ökonomisch,1
opportunist,1
optimistisch,1
ordentlich,1
pathetisch,1
phrasen dreschend,1
politisch mittig bis rechts,1
politische mitte,1
positiv,1
pragmatisch,1
privilegiert,1
realitätsnah,1
rechtschaffen,1
rechtsorientiert,1
rechtspolitisch,1
regelorientiert,1
reich,1
resilient,1
sachlich,1
sicherheitsorientiert,1
sozial engagiert,1
sozialkompetent,1
spricht in phrasen,1
stolz,1
stur,1
teamfähig,1
traditionalistisch,1
überlegt,1
überzeugend,1
uneigennützig,1
unklug,1
unmodern,1
unnachgiebig,1
unnahbar,1
verängstigt,1
verantwortungsbewusst,1
verärgert,1
verlässlich,1
verständnisvoll,1
vertrauenswürdig,1
visionär,1
vorbildlich,1
vorrausschauend,1
vorsichtig,1
wählbar,1
weiblich,1
weich,1
weiß,1
weltoffen,1
wirtschaftsorientiert,1
wohlwollend,1
zielstrebig,1
zukunftsbedacht,1
zukunftsorienrtiert,1
zukunftsorient,1
zukunftsorientert,1
zukunftsweisend,1
zukunktsorientiert,1
zulunftsorientiert,1
zusammenhaltend,1
zustimmung heischend,1
zustimmungheischend,1
zwanghaft,1
