session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Living abroad,Nationality,Sex,Student Status
620f69b8459b30b9d5bacfd4,5df236e415ef401430d53187,APPROVED,2022-02-18 09:41:16.278000,2022-02-18 09:50:31.017000,554.739,24,228,2,100,2022-02-18 10:37:18.129000,91855C54,Germany,Germany,Full-Time,German,No,Germany,Male,Yes
620f6a5e418353689aaf568e,5ddbe2a2b98887b3e8113155,APPROVED,2022-02-18 09:44:01.276000,2022-02-18 09:48:47.752000,286.476,21,150,2,99,2022-02-18 10:37:18.208000,91855C54,Germany,Germany,Full-Time,German,No,Germany,Male,No
620f6a76cedb0e10b52cd7f5,5efcc8d1669e920c46e9daf9,RETURNED,2022-02-18 09:44:23.632000,,7844.159726,24,136,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
620f6a7afcda09296bfcb136,5c22c0380091e40001c929af,APPROVED,2022-02-18 09:44:28.588000,2022-02-18 09:47:52.206000,203.618,20,92,1,100,2022-02-18 10:37:18.289000,91855C54,Germany,Germany,Full-Time,German,No,Germany,Male,No
620f6b48bf13bec70bc418ee,611bcf95c89fe575a77fe055,APPROVED,2022-02-18 09:47:56.072000,2022-02-18 09:52:26.867000,270.795,23,27,0,100,2022-02-18 10:37:18.358000,91855C54,Germany,Germany,Other,German,No,Germany,Male,Yes
620f6bc543ad4b985f959b8c,61704987ff8872e23d123c1c,RETURNED,2022-02-18 09:49:59.535000,,7508.315273,24,87,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
620f6bf1a84940c2c58746c9,6105903e5e19257559b6cc3c,APPROVED,2022-02-18 09:50:43.816000,2022-02-18 09:53:04.985000,141.169,19,129,0,100,2022-02-18 10:37:18.462000,91855C54,Germany,Germany,Full-Time,German,No,Germany,Female,Yes
620f6c2538487fa31454b327,5da727bfc2a70a0011a128e0,APPROVED,2022-02-18 09:51:37.200000,2022-02-18 09:56:11.364000,274.164,59,544,3,99,2022-02-18 10:37:18.582000,NOCODE,Germany,Germany,"Not in paid work (e.g. homemaker', 'retired or disabled)",German,No,Germany,Female,No
620f6c3f0a8b9172f915487d,5b5dfd5e2696a70001eea332,APPROVED,2022-02-18 09:51:59.422000,2022-02-18 09:54:37.205000,157.783,41,190,0,100,2022-02-18 10:37:18.655000,91855C54,Germany,Germany,Full-Time,German,No,Germany,Male,No
620f6c46078b0b1cec983fd8,5bbaeece0cb04c00014feeba,APPROVED,2022-02-18 09:52:07.984000,2022-02-18 09:53:40.097000,92.113,27,388,2,100,2022-02-18 10:37:18.726000,91855C54,Germany,Germany,Full-Time,German,No,Germany,Male,No
620f6c7a6b65b726d053fb12,5f10219362a3810008c4f2c3,APPROVED,2022-02-18 09:53:03.257000,2022-02-18 09:57:19.667000,256.41,35,396,1,100,2022-02-18 10:37:18.809000,91855C54,Germany,Germany,DATA EXPIRED,German,No,Germany,Male,No
620f6cd6cfda0eeaaff7a86f,5f4f6af15e8dec017338fd49,APPROVED,2022-02-18 09:54:30.553000,2022-02-18 09:56:53.855000,143.302,37,296,0,100,2022-02-18 10:37:18.894000,91855C54,Germany,Germany,Part-Time,German,No,Germany,Male,Yes
620f6d210c92fd6136bf4cd5,60d9beb3c0924164d9e6609a,APPROVED,2022-02-18 09:55:47.410000,2022-02-18 09:57:59.965000,132.555,26,107,0,100,2022-02-18 10:37:18.978000,91855C54,Germany,Germany,Full-Time,German,No,Germany,Female,No
620f6d708b1595bf878e45ca,5fd3a54311cad303b9f2551a,APPROVED,2022-02-18 09:57:04.153000,2022-02-18 09:59:38.826000,154.673,22,348,1,100,2022-02-18 10:37:19.089000,91855C54,Germany,Germany,DATA EXPIRED,German,No,Germany,Male,DATA EXPIRED
620f6d8e9ec9a3684587869b,5b18cca868a5ed0001734bfe,APPROVED,2022-02-18 09:57:49.005000,2022-02-18 10:01:01.025000,192.02,27,529,3,100,2022-02-18 10:37:19.154000,91855C54,Germany,Germany,Full-Time,German,No,Malaysia,Male,No
620f6dd966ab8227cfbd0017,5b4464e1f5920200016d1622,APPROVED,2022-02-18 09:58:51.832000,2022-02-18 10:02:16.970000,205.138,28,561,1,100,2022-02-18 10:37:19.252000,91855C54,Germany,Germany,Full-Time,German,No,Germany,Female,No
620f6e156b9f7823c98e99a4,60fd19cdc2dbc280e7df6d0c,APPROVED,2022-02-18 09:59:54.786000,2022-02-18 10:03:50.011000,235.225,22,129,0,100,2022-02-18 10:37:19.361000,91855C54,Germany,Germany,Part-Time,German,No,Germany,Female,Yes
620f6e39e0a872ea19fc8073,615043f81a9464fc0e5a87bf,APPROVED,2022-02-18 10:00:28.099000,2022-02-18 10:03:16.458000,168.359,46,113,0,100,2022-02-18 10:37:19.430000,91855C54,Germany,Germany,Full-Time,German,No,Germany,Male,No
620f6eff39b51e7589f7022a,5db5a18f1fe3db000c92eb14,APPROVED,2022-02-18 10:03:46.909000,2022-02-18 10:05:23.858000,96.949,23,503,2,100,2022-02-18 10:37:19.525000,91855C54,Germany,Germany,Full-Time,German,No,Germany,Male,Yes
620f6f7d71ff84d1125facd7,613ba1090afacfa15f8af1a5,APPROVED,2022-02-18 10:05:54.949000,2022-02-18 10:08:21.530000,146.581,25,69,0,100,2022-02-18 10:37:19.599000,91855C54,Germany,Germany,DATA EXPIRED,German,No,Germany,Female,Yes
620f6fd970ba50d7515b6b58,613a5d8cf0c42efebd09fb91,APPROVED,2022-02-18 10:07:23.519000,2022-02-18 10:10:09.877000,166.358,24,70,0,100,2022-02-18 10:37:19.690000,91855C54,Germany,Germany,Part-Time,German,No,Germany,Female,Yes
620f6fe2d119e727f51686f7,615323ff5ce68a5dbe37eebe,APPROVED,2022-02-18 10:07:32.071000,2022-02-18 10:10:11.177000,159.106,46,196,0,100,2022-02-18 10:37:19.783000,91855C54,Germany,Germany,Full-Time,German,No,Germany,Male,No
620f6feab9387c387506880c,61066042560efbb4c827c5df,APPROVED,2022-02-18 10:07:44.666000,2022-02-18 10:12:03.728000,259.062,42,119,0,100,2022-02-18 10:37:19.873000,91855C54,Germany,Germany,Part-Time,German,No,Germany,Female,No
620f6fecc3237f200df7e2e0,5cb19af6c642510015463de2,APPROVED,2022-02-18 10:07:40.269000,2022-02-18 10:14:10.163000,389.894,34,545,2,100,2022-02-18 10:37:20.022000,91855C54,Germany,Germany,Full-Time,German,No,Germany,Male,No
620f70b7db7125e21e554a7d,5d43c606773d8b00016eaa8a,APPROVED,2022-02-18 10:12:22.547000,2022-02-18 10:15:09.879000,167.332,49,639,1,100,2022-02-18 10:37:20.199000,91855C54,Germany,Germany,Part-Time,German,No,Germany,Female,No
620f70d2f734676c58798df5,61530557a58367a1f225bac9,APPROVED,2022-02-18 10:11:33.238000,2022-02-18 10:16:22.208000,288.97,40,88,0,100,2022-02-18 10:37:20.319000,NOCODE,Germany,Germany,Full-Time,German,No,Germany,Female,No
620f70f49aed54fbff4f16ec,6153622931e346df1b877696,APPROVED,2022-02-18 10:12:04.204000,2022-02-18 10:14:00.738000,116.534,33,183,0,100,2022-02-18 10:37:20.462000,91855C54,Germany,Germany,Full-Time,German,No,Germany,Male,No
620f7101ef2d2c77a2861c6d,5caa1d2a4be4c60001efca92,RETURNED,2022-02-18 10:12:22.955000,,6165.480157,27,598,7,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
620f7137901b48dadf1c0d93,60d82283a58b4b29392f1ed1,APPROVED,2022-02-18 10:13:11.688000,2022-02-18 10:23:16.261000,604.573,29,218,0,100,2022-02-18 10:37:20.587000,91855C54,Germany,Germany,Part-Time,German,No,Germany,Male,Yes
620f717a0e40a2c60690a067,61486c5660c380bce7e4df6b,APPROVED,2022-02-18 10:14:20.277000,2022-02-18 10:18:44.245000,263.968,22,57,0,100,2022-02-18 10:37:20.733000,91855C54,Germany,Germany,Other,German,No,Germany,Male,Yes
620f71cafb0166141fbda045,5c338ac6c75f190001e7fb97,APPROVED,2022-02-18 10:15:38.823000,2022-02-18 10:18:17.994000,159.171,30,413,1,100,2022-02-18 10:37:20.876000,91855C54,Germany,Germany,DATA EXPIRED,German,No,Germany,Male,DATA EXPIRED
620f71cc48b32d3bd6f11c5b,5ca5d69682ff890012be8b11,APPROVED,2022-02-18 10:15:42.343000,2022-02-18 10:18:29.914000,167.571,28,267,3,99,2022-02-18 10:37:21.006000,91855C54,Germany,Germany,Other,German,No,Germany,Male,Yes
620f7215c4737af1adf4e1f1,5eb6d8b84ff3445d719f28be,APPROVED,2022-02-18 10:16:53.462000,2022-02-18 10:18:52.814000,119.352,28,466,5,99,2022-02-18 10:37:21.103000,91855C54,Germany,Germany,DATA EXPIRED,German,No,Germany,Female,DATA EXPIRED
